field1,field2,field3,field4,X_impact,field6,X_impact
0.0,1.3665,2.7944,1.7754,4.3505,3.2087,3.7847
1.1196,0.0,1.9988,2.5868,2.3544,-1.0727,2.45622
0.0,1.9876,2.5079,0.77307,1.4809,4.411,1.44406
0.024039,1.8953,1.8825,0.0,-0.025541,2.8748,0.04224
1.2368,2.6805,1.9706,0.0,-1.4225,2.6279,-1.56155
1.8335,2.7581,1.2436,0.0,-4.7188,3.0172,-4.38675
0.0,1.5526,2.8279,1.6026,4.3373,4.1825,3.95252
1.9975,2.5466,0.96757,0.0,-2.8578,1.1352,-3.56979
2.2598,1.9931,0.0,0.42644,-3.9628,-0.68084,-3.69269
1.0419,2.4192,1.9567,0.0,-0.69329,1.7496,-0.50553
0.0,1.9749,2.1712,0.33191,0.45764,3.5343,0.62322
0.0,1.8456,2.7819,1.3932,2.3082,3.2665,2.49226
0.0,1.6448,2.8281,1.6045,3.2325,3.3301,3.46306
0.67212,2.3548,1.9899,0.0,-0.73293,2.8254,-0.7774
0.0,1.9704,2.6103,0.99065,1.6223,3.7094,1.68135
2.4579,0.78181,0.0,2.0,-1.0158,-3.2076,-1.12686
0.0,1.5384,2.8261,1.6458,4.0232,3.7193,3.75748
0.0,1.5161,1.6337,0.28108,0.14495,1.2499,0.14797
2.7599,1.8553,0.0,1.9893,-0.95378,-1.0893,-0.71282
1.9995,0.0,0.54877,2.3717,1.106,-4.755,0.95023
1.9998,2.3482,0.53755,0.0,-4.241,0.94347,-4.36833
0.0,1.9156,2.6703,1.0356,2.4692,4.9888,2.36396
0.48237,0.0,1.993,2.2853,3.6618,-0.70411,3.90103
