field1,field2,field3,field4,field5,field6,X_impact
2.8088,1.7714,0.0,1.4716,-3.422,-2.7326,-3.41179
2.3981,1.9993,0.0,0.60336,-4.3958,-1.1161,-4.26703
2.7975,1.3525,0.0,1.7491,-3.7238,-4.9891,-3.72912
2.2124,1.727,0.0,1.1543,-1.12,-0.58335,-1.13822
2.7046,1.1112,0.0,1.8909,-2.648,-4.8744,-2.63308
0.0,1.9348,2.8268,1.8909,1.212,1.2614,1.13164
1.4788,0.0,1.8255,2.7999,2.9324,-2.2472,3.10191
0.0,0.54994,2.3772,1.9989,4.936,1.1588,4.24951
2.2267,0.3711,0.0,1.9911,-0.62064,-4.1364,-0.60525
0.14628,0.0,1.9348,2.0177,3.2716,-0.18194,3.59725
1.6007,0.0,1.8146,2.8162,2.3952,-2.0272,2.44223
1.8846,2.2112,0.75369,0.0,-1.737,0.48157,-1.73492
2.812,1.4443,0.0,1.7279,-3.3641,-4.1473,-3.46572
0.0,1.9758,2.7269,1.4452,1.2733,2.003,1.19031
0.90774,0.0,1.9543,2.6009,4.9226,-2.0489,4.53181
1.1176,2.4288,1.9453,0.0,-0.69366,1.6099,-0.75035
1.4052,2.6039,1.9881,0.0,-0.87322,1.5252,-0.93474
0.87845,2.5172,1.9973,0.0,-1.1581,3.1917,-1.21386
1.9063,2.7141,1.1809,0.0,-3.8948,2.1986,-3.76372
1.1365,1.5669,0.81528,0.0,-0.69114,0.43033,-0.58481
1.9388,2.6971,1.1927,0.0,-3.2749,1.7923,-3.20368
1.4871,0.0,1.7429,2.8145,3.5609,-2.9431,3.79312
0.0,1.2206,2.6054,1.9999,2.0556,1.0168,1.97149
1.9365,2.0075,0.12324,0.0,-3.3935,0.16011,-3.40965
1.9135,1.1868,0.0,1.3097,-0.62572,-0.73075,-0.65449
1.7147,0.0,1.4668,2.8159,3.3841,-4.0623,3.57431
2.25,0.40341,0.0,1.9935,-0.67629,-4.1345,-0.65994
0.0,0.074431,2.0056,1.958,4.2991,0.12838,3.93808
0.0,1.9895,2.5448,0.88646,1.3556,3.591,1.26227
0.0,1.6415,2.8248,1.5052,4.0945,4.5211,3.93394
2.3314,0.83609,0.0,1.9487,-0.60767,-1.9583,-0.6946
1.1974,0.0,2.0,2.5967,2.0897,-1.0108,2.16693
1.9624,0.0,0.8808,2.5835,1.9303,-4.8314,2.0081
2.7304,1.2401,0.0,1.9016,-2.1198,-3.565,-2.15385
1.4283,2.8146,1.6937,0.0,-4.011,4.8688,-3.87952
0.0,1.5432,2.8262,1.6476,3.9449,3.6545,3.89269
0.13746,0.43342,0.3229,0.0,-0.08725,0.21992,0.12781
0.44216,2.237,1.9818,0.0,-0.57001,3.3177,-0.62594
1.4065,0.0,1.7437,2.8055,4.3663,-3.4034,4.36888
1.3865,0.0,1.7867,2.795,3.984,-2.9527,4.10674
2.4414,0.64577,0.0,1.9938,-1.3822,-4.9393,-1.34537
2.7998,1.7662,0.0,1.3922,-4.2046,-3.1842,-4.2617
0.0,0.39413,2.1298,1.9312,2.5405,0.36704,2.96554
0.29563,2.0571,1.9093,0.0,-0.27146,2.5234,-0.24307
2.6744,1.9787,0.0,1.2511,-2.4678,-1.3328,-2.48985
2.8284,1.6119,0.0,1.5944,-3.6981,-3.6511,-3.76994
0.0,0.71128,2.3555,1.9847,2.5922,0.70252,2.74037
0.0,1.1433,2.6816,1.9424,3.4799,1.8199,3.45032
1.9874,0.0,0.39319,2.2275,0.58941,-3.7713,0.6983
0.0,0.51698,2.3537,1.9997,4.9074,1.077,4.21034
1.3648,2.7076,1.9755,0.0,-1.3101,2.198,-1.27763
0.0,1.8066,2.8249,1.8919,1.5103,1.4037,1.38796
0.0,1.9967,2.5239,1.073,0.89298,2.1228,0.85963
1.2928,0.0,1.862,2.7583,3.7662,-2.431,3.9323
1.7832,0.0,1.3921,2.7965,2.9672,-3.9752,3.14544
1.36,0.0,1.7737,2.7938,4.4519,-3.273,4.41049
1.9375,1.9529,0.025248,0.0,-3.8781,0.038467,-3.60825
1.9814,2.6445,1.1569,0.0,-2.7153,1.347,-2.64356
0.81368,0.0,1.9991,2.483,3.2828,-1.0951,3.54863
2.7344,1.9215,0.0,1.3038,-2.9633,-1.8092,-2.96741
2.6487,1.9668,0.0,1.105,-3.2054,-1.5627,-3.22908
0.85441,2.4583,1.9983,0.0,-0.89741,2.6703,-0.91607
1.7002,2.8185,1.4794,0.0,-4.0948,3.4815,-3.97631
1.9755,2.0735,0.14818,0.0,-4.657,0.28161,-3.73069
0.0,0.1373,2.0712,1.9784,4.9533,0.28055,4.05029
1.655,0.0,1.5145,2.8245,3.806,-4.2173,3.94174
1.8502,0.0,1.5608,2.8056,1.9059,-2.3932,1.91427
2.6489,1.1264,0.0,1.9718,-1.4831,-3.0132,-1.54804
1.8,2.7912,1.3801,0.0,-3.8719,2.8239,-3.78801
1.6465,0.0,1.8417,2.817,2.1049,-1.8014,2.15933
1.0935,0.0,1.9108,2.6892,4.5295,-2.3686,4.41886
0.0,1.6015,2.8271,1.5189,4.6164,4.9003,4.28857
0.0,1.3151,2.7713,1.8349,3.9715,2.6754,3.86553
1.9836,0.0,0.21615,2.1268,0.41282,-4.6649,0.46527
0.0,1.7268,2.8162,1.4849,3.1263,3.7399,3.05985
1.9535,2.6508,1.0656,0.0,-3.7054,1.7847,-3.57162
0.0,1.9092,2.7234,1.2266,2.062,3.5356,1.8788
1.2421,2.7453,1.8687,0.0,-2.5107,4.0703,-2.64038
1.9659,2.6262,1.0248,0.0,-3.6385,1.6557,-3.51337
0.0,0.24371,2.1397,1.9823,4.3675,0.431,3.94927
1.9994,0.0,0.57823,2.3609,0.91135,-3.8617,1.0233
0.66874,2.4456,1.9955,0.0,-1.2991,4.5383,-1.35796
1.5295,1.018,0.0,0.89558,-0.59093,-0.49243,-0.63804
1.7038,2.4516,1.6615,0.0,-0.88725,0.84763,-0.91549
0.53177,2.2293,1.9579,0.0,-0.5064,2.5626,-0.53932
0.0,1.9987,2.3157,0.4921,0.85125,4.2102,0.68883
1.8577,0.0,1.2197,2.7447,2.7501,-4.4849,2.88926
1.5298,2.8195,1.7317,0.0,-2.8436,3.3062,-2.91188
2.8276,1.5563,0.0,1.6204,-3.8908,-4.0771,-3.9648
1.3728,2.8012,1.7437,0.0,-3.6509,4.7988,-3.59291
1.9023,2.7682,1.4234,0.0,-2.6261,1.7947,-2.52826
0.0,1.9609,1.984,0.034711,0.067364,4.7499,-0.0192
0.12423,0.0,1.9772,2.0614,4.9883,-0.25586,3.9383
0.67144,0.0,1.8069,2.089,1.5679,-0.39202,1.76139
1.6988,0.0,1.7996,2.8254,2.0517,-1.894,2.0953
1.4208,1.2885,0.0,0.2921,-0.96565,-0.14614,-1.03434
1.0508,0.0,1.9745,2.4545,1.8582,-0.74629,1.96053
0.0,1.9913,2.4941,0.75931,1.3865,4.2495,1.18484
2.556,0.88597,0.0,1.9838,-1.4758,-3.849,-1.50491
1.7558,2.7776,1.9943,0.0,-1.0664,1.3302,-1.14439
0.0,1.3662,2.8012,1.7388,4.9861,3.7903,4.56649
1.0477,2.6699,1.9217,0.0,-2.3182,4.6719,-2.42038
0.0,1.9638,2.0596,0.15384,0.24597,4.0283,0.16115
2.7918,1.3526,0.0,1.7781,-3.2535,-4.4661,-3.31151
1.6937,2.8005,1.9409,0.0,-1.3302,1.6443,-1.32668
0.77716,0.0,1.9981,2.4761,3.5605,-1.1476,3.77561
1.0042,0.0,2.0,2.5321,2.4866,-0.99846,2.63535
2.8154,1.6904,0.0,1.8809,-1.5703,-1.8368,-1.59173
1.9999,0.0,1.8948,2.7958,0.99516,-1.1028,0.95501
1.9836,2.1481,0.25446,0.0,-4.373,0.45098,-3.72592
0.0,1.5865,2.8279,1.5318,4.7186,4.9086,4.35963
1.9506,2.6977,1.2305,0.0,-2.9274,1.6252,-2.83768
2.8282,1.6895,0.0,1.7179,-2.313,-2.3641,-2.23711
0.50627,0.0,1.9997,2.3318,4.394,-0.92343,4.01884
0.041961,1.9797,1.9529,0.0,-0.072522,4.308,-0.13317
1.7167,0.0,1.6322,2.8267,2.525,-2.6921,2.62274
0.0,1.9609,2.6816,1.203,1.5458,2.8914,1.49276
1.8199,2.7683,1.2751,0.0,-4.6241,3.0663,-4.37107
0.0,1.453,2.7681,1.9159,2.4168,1.6648,2.27971
0.0,1.6812,1.8857,0.49354,0.26824,1.413,0.2413
0.78122,0.0,1.9742,2.3574,2.2759,-0.66759,2.47434
2.1657,1.9805,0.0,0.29958,-3.9181,-0.46678,-3.92975
2.4728,1.9946,0.0,0.72926,-4.1804,-1.2977,-4.16469
1.2,2.7124,1.9177,0.0,-2.0181,3.5691,-2.11403
0.72909,2.3897,1.9937,0.0,-0.79189,2.7957,-0.82522
1.3986,2.7527,1.9253,0.0,-1.6609,2.5398,-1.63202
0.0,0.38514,2.2555,1.9973,4.7345,0.75776,4.04148
1.3274,0.0,1.7755,2.7885,4.8273,-3.4604,4.61191
1.491,1.8531,0.81931,0.0,-0.99588,0.40966,-0.92264
2.7954,1.3484,0.0,1.757,-3.6184,-4.8945,-3.63961
1.1718,2.729,1.8702,0.0,-2.7548,4.7232,-2.84725
1.6376,2.8146,1.8512,0.0,-1.7713,2.1013,-1.68003
1.8259,0.0,1.2904,2.7695,2.901,-4.3493,3.04635
0.0,0.383,2.1015,1.914,2.3987,0.33339,2.84291
1.8676,2.7641,1.3328,0.0,-3.4145,2.2587,-3.36666
0.61057,0.0,1.9964,2.4175,4.9122,-1.2908,4.26743
0.0,1.3904,2.8017,1.754,4.4039,3.3647,4.21398
1.2388,0.0,1.8489,2.7519,4.4614,-2.8005,4.40596
2.8284,1.6015,0.0,1.6204,-3.4983,-3.5472,-3.55202
2.57,1.9785,0.0,1.3641,-1.5098,-0.83144,-1.57918
1.8956,2.096,0.42703,0.0,-2.189,0.33633,-2.41732
1.4683,0.0,1.8408,2.7949,2.8763,-2.1576,3.03194
0.66668,2.3684,1.9944,0.0,-0.78702,3.0165,-0.8431
2.151,1.9893,0.0,0.23787,-4.9894,-0.49245,-4.02267
1.6389,0.0,1.711,2.8272,2.6795,-2.5371,2.7843
0.0,1.2508,2.7043,1.9487,2.8694,1.6236,2.77572
0.0,1.8431,2.818,1.6594,1.7739,2.0549,1.63198
1.6361,0.0,1.627,2.8284,3.1651,-3.1865,3.37715
1.9999,0.0,1.7435,2.7572,1.0086,-1.2851,1.06974
2.8266,1.6632,0.0,1.5709,-3.5036,-3.2728,-3.53349
0.97804,2.6074,1.9695,0.0,-1.6505,3.8119,-1.7525
0.22009,2.0181,1.9056,0.0,-0.21302,2.6474,-0.19378
0.5271,2.3337,1.9989,0.0,-0.87244,4.0441,-0.92935
0.0,1.7797,2.8235,1.8849,1.5898,1.4542,1.46037
0.69357,0.0,1.8364,2.1306,1.6318,-0.41812,1.81082
0.0,0.24204,1.0745,0.94298,0.66314,0.1278,0.4716
0.72168,2.4831,1.9898,0.0,-1.4626,4.6634,-1.51528
0.95827,0.0,1.9756,2.4243,1.9992,-0.726,2.08294
1.9742,0.0,1.7202,2.6896,0.90125,-1.1597,0.91647
2.8271,1.6393,0.0,1.5577,-3.861,-3.6372,-3.93515
0.0,1.5438,2.8265,1.6411,4.0076,3.7323,3.9415
0.0,1.9012,2.7013,1.119,2.4449,4.5258,2.17721
2.7664,1.2895,0.0,1.8355,-2.7724,-4.1966,-2.77631
0.92273,2.3847,1.9616,0.0,-0.66895,1.9315,-0.70027
2.3677,1.9999,0.0,0.55623,-4.4417,-1.0346,-4.26058
1.4913,0.0,1.7326,2.8161,3.6233,-3.0289,3.84576
1.2799,0.0,1.8107,2.7718,4.7476,-3.1862,4.56698
2.617,0.9642,0.0,1.9567,-1.8906,-4.3221,-1.86518
0.76629,0.0,1.9987,2.4681,3.539,-1.1207,3.75494
0.83545,2.5468,1.9787,0.0,-1.6382,4.4453,-1.71127
2.4108,1.9356,0.0,1.1065,-1.5814,-0.67469,-1.68368
1.6352,2.8281,1.5946,0.0,-3.4987,3.3956,-3.47895
1.9032,0.0,1.3237,2.7479,1.9416,-3.0674,2.0102
2.1091,1.9586,0.0,0.26165,-3.3548,-0.33715,-3.6995
2.7797,1.3962,0.0,1.8549,-2.2177,-3.1588,-2.2746
1.9721,0.0,0.56094,2.2674,0.57345,-2.7118,0.66704
1.5121,2.8086,1.802,0.0,-2.3321,2.9099,-2.35462
1.5382,2.8254,1.6604,0.0,-3.5383,3.8702,-3.53807
0.27141,2.105,1.9527,0.0,-0.32866,3.1854,-0.33446
0.0,1.4616,2.8026,1.8006,3.2358,2.5026,3.15368
1.6787,0.0,1.5631,2.8256,3.1671,-3.4497,3.39229
0.0,1.9875,2.1515,0.2461,0.47905,4.7339,0.3326
0.0,1.5278,2.815,1.7701,3.0345,2.5265,2.92983
1.4894,0.0,1.7953,2.807,3.0959,-2.4545,3.31338
2.4125,1.957,0.0,1.0216,-1.7754,-0.68792,-1.90651
1.6489,0.0,1.4953,2.8238,4.0815,-4.5643,4.12358
0.96156,2.6034,1.9685,0.0,-1.6867,3.9487,-1.78739
1.9487,1.9725,0.037732,0.0,-4.1722,0.06276,-3.63751
0.0,1.7679,2.8146,1.5214,2.5675,3.0925,2.3713
2.3197,1.954,0.0,0.78098,-2.0754,-0.60045,-2.20856
0.0,0.29591,2.1034,1.9436,2.9417,0.32599,3.37862
2.0583,0.42755,0.0,1.865,-0.30824,-2.0147,-0.34917
2.828,1.6109,0.0,1.6563,-3.0875,-3.1933,-3.03951
2.8251,1.6363,0.0,1.5055,-4.5921,-4.1759,-4.57626
1.1907,0.21352,0.0,1.0844,-0.10911,-0.79022,-0.04453
0.0,2.0,2.3611,0.54329,1.0278,4.5118,0.80832
2.787,1.3383,0.0,1.7898,-3.1677,-4.4384,-3.21975
0.0,1.8115,2.7923,1.4044,2.6007,3.5389,2.40902
0.69735,2.4756,1.9888,0.0,-1.5189,4.9736,-1.54844
0.0,0.0092025,1.948,1.9422,4.1227,0.015087,3.8288
2.4826,0.85388,0.0,2.0,-1.0071,-2.932,-1.11435
2.2265,0.34948,0.0,1.9946,-0.66747,-4.6299,-0.61441
2.0,0.0,1.0194,2.535,0.98961,-2.4319,1.04472
1.1464,2.6992,1.9174,0.0,-2.1322,3.9358,-2.24396
0.0,0.047667,1.3449,1.3242,1.0872,0.023924,1.01803
0.0,1.5748,2.8283,1.5472,4.7135,4.8086,4.37004
1.4169,2.7417,1.9506,0.0,-1.4667,2.2793,-1.41725
1.4378,2.7704,1.9035,0.0,-1.766,2.5596,-1.74149
1.351,2.7929,1.7715,0.0,-3.3638,4.5972,-3.38255
2.7925,1.4044,0.0,1.8104,-2.6121,-3.5511,-2.65504
1.6919,2.8159,1.4398,0.0,-4.7255,3.9307,-4.4173
0.0,1.987,2.6851,1.3394,1.2147,2.1238,1.16218
1.813,2.7698,1.2721,0.0,-4.7978,3.1945,-4.48233
0.0,1.2785,1.5855,0.64355,0.32578,0.85018,0.29411
0.0,1.0969,2.6982,1.896,4.8928,2.6114,4.49475
0.0,1.2682,2.7514,1.8671,3.8807,2.4461,3.78981
1.8523,0.0,1.5314,2.8013,1.9478,-2.5044,1.95664
0.0,0.34452,1.9493,1.7995,1.8327,0.22557,2.21236
2.8268,1.8787,0.0,1.8209,-1.4989,-1.4265,-1.48696
1.2487,0.0,1.8934,2.7363,3.6294,-2.1925,3.8182
1.8535,0.0,1.2877,2.7602,2.5486,-3.9306,2.68468
0.0,1.9453,1.9574,0.01917,0.031848,4.1684,-0.04881
0.68808,0.0,1.9943,2.4575,4.5182,-1.3342,4.19368
0.0,0.14097,2.0744,1.979,4.9673,0.28905,4.0521
1.8782,2.8134,1.6694,0.0,-1.9059,1.6068,-1.80117
1.6129,2.8282,1.6466,0.0,-3.161,3.241,-3.18258
1.7667,0.37247,0.0,1.6123,-0.19819,-1.3577,-0.22897
1.1039,2.6989,1.8983,0.0,-2.5451,4.7537,-2.64246
1.9412,0.0,0.030293,1.9599,0.047368,-3.9627,0.08237
0.0,1.8672,2.7656,1.3399,2.244,3.3733,2.05641
2.0493,0.11447,0.0,1.9729,-0.22378,-4.7736,-0.19224
1.9104,2.7313,1.2635,0.0,-3.3016,1.9793,-3.24301
1.8503,0.0,1.3124,2.766,2.5026,-3.7773,2.63121
1.9978,2.6524,1.4627,0.0,-1.557,0.9442,-1.51587
0.0,1.7738,2.8172,1.5563,2.402,2.8341,2.21271
2.75,1.8656,0.0,1.2588,-3.9811,-2.4951,-4.04846
1.7889,2.7825,1.3091,0.0,-4.8085,3.3618,-4.49736
0.0,1.2506,2.7236,1.9192,3.2542,1.9115,3.16143
0.0,1.6551,2.8237,1.501,3.928,4.395,3.80563
0.0,1.4879,2.8181,1.711,3.8773,3.2887,3.8446
2.6614,1.9332,0.0,1.0456,-4.3637,-2.1282,-4.32473
2.8284,1.5812,0.0,1.5781,-4.2208,-4.2111,-4.26114
2.8164,1.6617,0.0,1.8556,-1.7144,-2.0044,-1.72794
1.7928,0.0,1.8498,2.8271,1.6247,-1.5491,1.7524
1.8245,2.8223,1.6836,0.0,-2.0312,1.815,-1.89377
0.0,1.9749,2.0881,0.17467,0.31206,4.4172,0.21083
1.9968,2.6676,1.361,0.0,-1.9201,1.0923,-1.85733
0.0,1.6354,2.8277,1.5755,3.5387,3.6979,3.48553
0.0,0.45888,1.5531,1.3464,0.97217,0.22953,0.90943
1.7578,2.8204,1.5727,0.0,-2.8322,2.4614,-2.72763
1.9876,2.2067,0.34982,0.0,-4.0176,0.56388,-3.64071
1.9994,0.0,0.57201,2.3573,0.90494,-3.8765,1.01562
2.5712,0.94252,0.0,1.9859,-1.3958,-3.459,-1.45201
1.1456,2.6312,1.9872,0.0,-1.277,2.6334,-1.25979
0.0,1.6543,2.2838,1.4185,0.71286,0.92888,0.71608
2.736,1.1927,0.0,1.8648,-2.7532,-4.6178,-2.74915
1.3861,0.0,1.7946,2.7933,3.8856,-2.8596,4.03362
1.5915,2.8284,1.58,0.0,-4.0779,4.0441,-3.96041
1.9995,0.0,1.0357,2.5548,1.0532,-2.515,1.10325
0.0,0.18546,1.9885,1.8944,2.6112,0.17639,3.29662
1.7391,0.0,1.5297,2.8188,2.778,-3.2492,2.95139
1.9963,2.4272,0.79993,0.0,-2.7089,0.84625,-2.65902
2.1806,0.46138,0.0,1.946,-0.43708,-2.5658,-0.49734
1.9882,2.5346,0.84959,0.0,-3.8565,1.4061,-3.67676
1.9036,2.4431,1.297,0.0,-1.3223,0.70425,-1.3108
0.0061163,0.0,1.959,1.9632,4.9039,-0.012324,3.90451
2.1707,0.51944,0.0,1.9232,-0.4226,-2.2395,-0.47964
1.9979,2.2729,0.41342,0.0,-4.6199,0.79223,-3.90752
0.0,0.31879,2.1881,1.9863,4.1273,0.52948,3.86332
1.4201,0.0,1.7457,2.8068,4.1818,-3.2862,4.25416
0.0,1.2077,2.5938,2.0,2.0338,0.98896,1.95422
2.8174,1.7111,0.0,1.4794,-3.9661,-3.3432,-4.04984
0.0,1.1083,2.7005,1.8974,4.7302,2.5444,4.40478
0.0,1.5653,1.7334,0.40298,0.20878,1.2658,0.19559
0.0,1.7948,2.7961,1.4054,2.7726,3.7156,2.62047
2.0681,0.29888,0.0,1.9166,-0.28286,-2.5891,-0.32704
0.0,1.8075,2.7824,1.3358,2.9354,4.1852,2.74899
0.0,0.53813,2.366,1.9996,4.8146,1.0991,4.19921
1.6836,2.8275,1.7419,0.0,-2.205,2.3067,-2.11213
0.92073,0.0,1.987,2.5618,3.5247,-1.3878,3.74042
1.2775,0.0,1.8116,2.7711,4.7591,-3.1853,4.57269
0.054977,0.0,1.9551,1.9903,4.3125,-0.095146,3.839
2.2664,1.9641,0.0,0.59621,-2.5072,-0.55717,-2.83163
2.8248,1.7429,0.0,1.6199,-2.6359,-2.4,-2.57945
0.0,1.9983,2.2776,0.41789,0.81218,4.6733,0.61267
1.7896,0.63546,0.0,1.5167,-0.31937,-1.0963,-0.34803
0.0,1.3737,2.6261,1.9981,1.6796,0.94035,1.59581
0.0,0.84773,1.1141,0.44929,0.24733,0.55112,0.21344
1.891,0.0,1.3611,2.7608,1.9824,-3.0047,2.04567
1.7693,0.0,1.3357,2.7911,3.5061,-4.836,3.58913
2.7161,1.9039,0.0,1.1839,-3.9163,-2.2221,-3.97057
1.2488,0.0,0.038755,1.2661,0.019377,-1.0021,0.0198
1.9254,2.6703,1.0579,0.0,-4.4699,2.2264,-4.16515
0.0,1.0686,2.6847,1.9069,4.8917,2.5173,4.49681
0.29017,1.9433,1.8145,0.0,-0.20092,1.9478,-0.16487
2.8051,1.383,0.0,1.7275,-3.8434,-4.9493,-3.85172
